spotify_id,name,artists,country,popularity,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,spotify_url,mood
1fySIg6QY2qyDgvChQv6la,Suvepalavik,Küberünnak & Karmo,EE,41,220479,Suvepalavik,24/5/2024,0.77,0.804,8,-8.132,0.15,0.0264,0.132,0.359,122.993,https://open.spotify.com/track/1fySIg6QY2qyDgvChQv6la,energetic
25yBeIWwwD870aYq18jvT1,heikki???,nublu,EE,43,142655,heikki???,24/8/2023,0.829,0.736,9,-6.43,0.229,0.0138,0.317,0.691,137.916,https://open.spotify.com/track/25yBeIWwwD870aYq18jvT1,energetic
7pwgSKp2A6DnvFU5teUhUw,kanapoja lauluke,triibupasta,EE,42,184503,kanapoja lauluke,28/2/2025,0.653,0.928,2,-3.898,0.0864,0.00847,0.16,0.858,160.04,https://open.spotify.com/track/7pwgSKp2A6DnvFU5teUhUw,energetic
56ygCy6bOYAOTSdi6nRjQa,100 roosi,"An-Marlen, boipepperoni",EE,42,189176,emotsionaalne elektronmuusika,23/5/2024,0.722,0.796,10,-8.114,0.129,0.00974,0.111,0.411,169.975,https://open.spotify.com/track/56ygCy6bOYAOTSdi6nRjQa,energetic
1C5jDtYftdFtHNG6iLVyCA,La Jama,"Jombriel, Waldokinc El Troyano, Jøtta",EC,66,224006,La Jama,13/11/2024,0.714,0.752,6,-2.283,0.161,0.0146,0.062,0.659,179.992,https://open.spotify.com/track/1C5jDtYftdFtHNG6iLVyCA,energetic
5cZIDOH5DaLSXFqo21G24Z,Robando,"DJ Lalo, Jøtta",EC,70,154000,Robando,9/10/2024,0.779,0.853,11,-5.829,0.0403,0.0647,0.62,0.974,93.04,https://open.spotify.com/track/5cZIDOH5DaLSXFqo21G24Z,energetic
63pLfjK6FvcYJYMGwtHjd6,SORRY 4 THAT MUCH,Feid,EC,82,207746,SORRY 4 THAT MUCH,7/6/2024,0.819,0.675,7,-4.281,0.0727,0.0318,0.289,0.602,92.99,https://open.spotify.com/track/63pLfjK6FvcYJYMGwtHjd6,energetic
4XTMj7kd8DHLl0r7ghmEAr,Caraluna,Bacilos,EC,60,266160,Grandes Exitos,23/5/2006,0.76,0.773,9,-5.314,0.0675,0.176,0.1,0.895,102.789,https://open.spotify.com/track/4XTMj7kd8DHLl0r7ghmEAr,energetic
6Z3FEo2Q2rF6CwWXl3iCAJ,OTRO SISTEMA,"Lil Naay, Huan62",DO,68,144004,OTRO SISTEMA,17/2/2025,0.6,0.345,2,-11.219,0.364,0.0305,0.097,0.367,100.067,https://open.spotify.com/track/6Z3FEo2Q2rF6CwWXl3iCAJ,energetic
0Mv8tLl5YjMCu3JUY7yxsv,Sin Ti,Yari M,DO,47,158372,Sin Ti,24/1/2025,0.798,0.647,7,-4.976,0.0347,0.52,0.111,0.535,96.995,https://open.spotify.com/track/0Mv8tLl5YjMCu3JUY7yxsv,energetic
6oRMg2IUaM9Ussg6pS30la,Glizzy Zaza,"Huan62, Lil Naay, Pillao VRT",DO,67,122574,Glizzy Zaza,6/1/2025,0.52,0.736,4,-8.266,0.251,0.123,0.411,0.736,109.142,https://open.spotify.com/track/6oRMg2IUaM9Ussg6pS30la,energetic
